word, result, link
noted, Note (disambiguation), https://en.wikipedia.org/wiki/Note
class, Class (education), https://en.wikipedia.org/wiki/Class_(education)
research, Research, https://en.wikipedia.org/wiki/Research
maintain, Maintenance (disambiguation), https://en.wikipedia.org/wiki/Maintenance
scores, Test score, https://en.wikipedia.org/wiki/Test_score
principal, Head teacher, https://en.wikipedia.org/wiki/Head_teacher
moved, Move (disambiguation), https://en.wikipedia.org/wiki/Move
play, Play (disambiguation), https://en.wikipedia.org/wiki/Play
notes, Musical note, https://en.wikipedia.org/wiki/Musical_note
signed, Contract, https://en.wikipedia.org/wiki/Contract
sale, Sales, https://en.wikipedia.org/wiki/Sales
foundation, Foundation (engineering), https://en.wikipedia.org/wiki/Foundation_(engineering)
funds, Funding, https://en.wikipedia.org/wiki/Funding
taken, Takedown (disambiguation), https://en.wikipedia.org/wiki/Takedown
erection, Construction, https://en.wikipedia.org/wiki/Construction
abstract, Abstract art, https://en.wikipedia.org/wiki/Abstract_art
process, Process, https://en.wikipedia.org/wiki/Process
led, Lead (disambiguation), https://en.wikipedia.org/wiki/Lead_(disambiguation)
relative, Relativism, https://en.wikipedia.org/wiki/Relativism
clear, Clear (disambiguation), https://en.wikipedia.org/wiki/Clear
derogatory, Pejorative, https://en.wikipedia.org/wiki/Pejorative
temporal, Time, https://en.wikipedia.org/wiki/Time
points, Point (geometry), https://en.wikipedia.org/wiki/Point_(geometry)
appears, Apparition, https://en.wikipedia.org/wiki/Apparition
serving, Serving (disambiguation), https://en.wikipedia.org/wiki/Serving
spread, Spread (disambiguation), https://en.wikipedia.org/wiki/Spread
loop, Loop (topology), https://en.wikipedia.org/wiki/Loop_(topology)
tanker, Oil tanker, https://en.wikipedia.org/wiki/Oil_tanker
route, Course (navigation), https://en.wikipedia.org/wiki/Course_(navigation)
transport, Transport, https://en.wikipedia.org/wiki/Transport
block, Hospital, https://en.wikipedia.org/wiki/Hospital
attack, Attack (disambiguation), https://en.wikipedia.org/wiki/Attack
lie, Lie, https://en.wikipedia.org/wiki/Lie
sides, Sides (disambiguation), https://en.wikipedia.org/wiki/Side
united, United (disambiguation), https://en.wikipedia.org/wiki/United
head, Head of government, https://en.wikipedia.org/wiki/Head_of_government
located, Location, https://en.wikipedia.org/wiki/Location
series, Television show, https://en.wikipedia.org/wiki/Television_show
programming, Broadcast programming, https://en.wikipedia.org/wiki/Broadcast_programming
form, Form (disambiguation), https://en.wikipedia.org/wiki/Form
train, Training, https://en.wikipedia.org/wiki/Training
breed, Breed, https://en.wikipedia.org/wiki/Breed
stops, Stop (disambiguation), https://en.wikipedia.org/wiki/Stop
back, Back (disambiguation), https://en.wikipedia.org/wiki/Back_(disambiguation)
point, Point (geometry), https://en.wikipedia.org/wiki/Point_(geometry)
lies, Lying (position), https://en.wikipedia.org/wiki/Lying_(position)
bolt, Bolt (firearms), https://en.wikipedia.org/wiki/Bolt_(firearms)
stocks, Stock (firearms), https://en.wikipedia.org/wiki/Stock_(firearms)
scope, Telescopic sight, https://en.wikipedia.org/wiki/Telescopic_sight 
ran, Running (disambiguation), https://en.wikipedia.org/wiki/Running_(disambiguation)
cover, Cover (disambiguation), https://en.wikipedia.org/wiki/Cover
practices, Practice (disambiguation), https://en.wikipedia.org/wiki/Practice
solid, Solid (disambiguation), https://en.wikipedia.org/wiki/Solid_(disambiguation)
annexed, Annexation, https://en.wikipedia.org/wiki/Annexation
declared, Declaration (computer programming), https://en.wikipedia.org/wiki/Declaration_(computer_programming)
cast, Type Conversion, https://en.wikipedia.org/wiki/Type_conversion
return, Return statement, https://en.wikipedia.org/wiki/Return_statement
argument, Parameter, https://en.wikipedia.org/wiki/Parameter_(computer_programming)
wave, Wave (disambiguation), https://en.wikipedia.org/wiki/Wave_(disambiguation)
staged, Stage (disambiguation), https://en.wikipedia.org/wiki/Stage
feature, Feature (disambiguation), https://en.wikipedia.org/wiki/Feature
fund, Prize money, https://en.wikipedia.org/wiki/Prize_money
insert, Insert (disambiguation), https://en.wikipedia.org/wiki/Insert
complex, Complex system, https://en.wikipedia.org/wiki/Complex_system
